State,BEEPOP
ALABAMA,9142500.0
ALASKA,10920000.0
ARIZONA,16200000.0
ARKANSAS,6058500.0
CALIFORNIA,16394117.647058824
COLORADO,9944347.826086955
CONNECTICUT,34962857.14285714
DELAWARE,16339999.999999998
FLORIDA,15240000.0
GEORGIA,4926352.94117647
HAWAII,36180000.0
IDAHO,6324000.0
ILLINOIS,6122857.142857143
INDIANA,6397402.597402598
IOWA,4270344.827586207
KANSAS,4800000.0
KENTUCKY,6409636.363636363
LOUISIANA,8216470.5882352935
MAINE,8858181.818181818
MARYLAND,6617647.05882353
MASSACHUSETTS,16776000.000000002
MICHIGAN,13249615.384615384
MINNESOTA,7283076.923076923
MISSISSIPPI,5875555.555555555
MISSOURI,5123505.154639175
MONTANA,1500000.0
NEBRASKA,7400000.0
NEVADA,11950000.0
NEW HAMPSHIRE,9160000.0
NEW JERSEY,15027692.307692308
NEW MEXICO,8594117.647058824
NEW YORK,16746666.666666666
NORTH CAROLINA,12172325.581395349
NORTH DAKOTA,600000.0
OHIO,11168780.487804879
OKLAHOMA,5429433.96226415
OREGON,12008000.0
PENNSYLVANIA,13248214.285714285
RHODE ISLAND,11085000.0
SOUTH CAROLINA,9216315.789473685
SOUTH DAKOTA,17120000.0
TENNESSEE,8594318.181818182
TEXAS,6730714.285714285
UTAH,10560000.0
VERMONT,11580000.0
VIRGINIA,9559550.561797753
WASHINGTON,13657894.736842105
WEST VIRGINIA,7820400.0
WISCONSIN,13695294.11764706
WYOMING,7044000.0
